date,job_title,postings,avg_salary,location,Unnamed: 5,automation_risk_score,ai_skill_overlap,creativity_level
2023-01-01,data scientist,320,115000,Boston, MA,0.2,0.7,0.8
2023-01-01,data engineer,270,110000,Boston, MA,0.3,0.5,0.7
2023-01-01,ai engineer,180,120000,Boston, MA,0.4,0.8,0.6
2023-02-01,data scientist,330,117000,Boston, MA,0.2,0.7,0.8
2023-02-01,data engineer,290,111000,Boston, MA,0.3,0.5,0.7
2023-02-01,ai engineer,190,121000,Boston, MA,0.4,0.8,0.6
2024-01-01,data scientist,370,122000,Boston, MA,0.2,0.7,0.8
2024-01-01,data engineer,340,115000,Boston, MA,0.3,0.5,0.7
2024-01-01,ai engineer,230,125000,Boston, MA,0.4,0.8,0.6
2025-01-01,data scientist,420,126000,Boston, MA,0.2,0.7,0.8
2025-01-01,data engineer,380,118000,Boston, MA,0.3,0.5,0.7
2025-01-01,ai engineer,280,129000,Boston, MA,0.4,0.8,0.6
